county,sub_county,constituency,ward,community_unit_name,community_unit_code,chu_status,linked_facility_name,date_established_excel,source
TANA RIVER,Bura,Bura,Sala,Mororo Community Health Unit,701508,Fully-functional,Sombo Dispensary,41325,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Madogo,Konoramadha Community Health Unit,701507,Fully-functional,Mlanjo Dispensary,42745,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Madogo,Mlanjo Community Health Unit,701506,Fully-functional,Madogo Health Centre,41402,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Madogo,Maramtu Community Health Unit,701505,Fully-functional,Madogo Health Centre,41402,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Madogo,Madogo A. Community Health Unit,701504,Fully-functional,Madogo Health Centre,41408,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Madogo,Madogo B. Community Health Unit,701503,Fully-functional,Madogo Health Centre,41402,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Chewele,Dukanotu Community Health Unit,701502,Fully-functional,Charidende Dispensary (CDF),41339,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bura,Bilbil Community Health Unit,701501,Fully-functional,Bura Sub county Hospital,42804,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Chewele,Nanighi Community Health Unit,701500,Fully-functional,Nanighi Dispensary (Tana River),42774,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Chewele,Chewele Community Health Unit,701499,Fully-functional,Chewele Dispensary,41528,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bura,Sabukia Community Health Unit,701498,Fully-functional,Bura Sub county Hospital,42740,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bura,Meti Community Health Unit,701497,Fully-functional,Meti Dispensary,41654,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bura,Biskidera Community Health Unit,701496,Fully-functional,Bura Sub county Hospital,41522,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bura,Bura Community Health Unit,701495,Fully-functional,Bura Sub county Hospital,41886,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Naikarra,Naikara Community Health Unit,701488,Fully-functional,Naikara Health Centre,40219,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Mara,Talek Community Health Unit,701487,Fully-functional,Talek Health Centre,41654,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Naikarra,Oderkesi Community Health Unit,701486,Fully-functional,Olderkesi Dispensary,41920,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Mara,Salabwek Community Health Unit,701485,Fully-functional,Salabwek Dispensary,40918,KMHFR via openAFRICA (2020 extract)
NAROK,Narok West,Narok West,Mara,Baraka Community Health Unit,701484,Fully-functional,Baraka Hospital,40954,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Waso,Lderkesi Community Health Unit,701483,Fully-functional,Archers Post Health Centre,41030,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba East,Lpashie Community Health Unit,701482,Fully-functional,Wamba Health Centre,41456,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Chewani,Kiarakungu Community Health Unit,701454,Fully-functional,Chewani Dispensary,42736,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Sagante/Jaldesa,Sagante Community Health Unit,701447,Fully-functional,Sagante Dispensary,41409,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Sagante/Jaldesa,Manyatta Jillo Community Health Unit,701446,Fully-functional,Manyatta Jillo Health Centre,42077,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Karare,Songa Community Health Unit,701445,Fully-functional,Songa Health Centre,42210,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Karare,Kituruni Community Health Unit,701444,semi-functional,Kituruni Dispensary,42199,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Karare,Karare Community Health Unit,701443,semi-functional,Karare Dispensary,41746,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Karare,Hulahula Community Health Unit,701442,Fully-functional,Hulahula Dispensary,42290,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Sagante/Jaldesa,Dirib Gombo Community Health Unit,701441,Fully-functional,Dirib Gombo Dispensary,42716,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Marsabit Central,Dakabaricha Community Health Unit,701440,Fully-functional,Dakabaricha Dispensary,41753,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Sagante/Jaldesa,Boru Haro Community Health Unit,701439,Fully-functional,Boru Haro Model Health Centre,41409,KMHFR via openAFRICA (2020 extract)
MARSABIT,Saku,Saku,Sagante/Jaldesa,Badassa Community Health Unit,701437,Fully-functional,Badassa Dispensary,41753,KMHFR via openAFRICA (2020 extract)
KILIFI,Malindi,Malindi,Kakuyuni,Malimo Community Health Unit,701391,Fully-functional,Mmangani Dispensary,41766,KMHFR via openAFRICA (2020 extract)
KILIFI,Malindi,Malindi,Kakuyuni,Kakuyuni Community Health Unit,701390,Fully-functional,Kakuyuni Dispensary (Malindi),41859,KMHFR via openAFRICA (2020 extract)
KILIFI,Malindi,Malindi,Shella,Central Community Health Unit,701389,Fully-functional,Muyeye Health Centre (Municipal),42285,KMHFR via openAFRICA (2020 extract)
KILIFI,Malindi,Malindi,Shella,Shella Community Health Unit,701388,Fully-functional,Muyeye Health Centre (Municipal),42191,KMHFR via openAFRICA (2020 extract)
KILIFI,Malindi,Malindi,Shella,Barani Community Health Unit,701386,Fully-functional,Muyeye Health Centre (Municipal),42278,KMHFR via openAFRICA (2020 extract)
KILIFI,Magarini,Magarini,Marafa,Dakacha Community Health Unit,701382,Fully-functional,Mulunguni Dispensary,42549,KMHFR via openAFRICA (2020 extract)
KILIFI,Magarini,Magarini,Garashi,Gandini Community Health Unit,701381,Fully-functional,Gandini Dispensary,40181,KMHFR via openAFRICA (2020 extract)
KILIFI,Magarini,Magarini,Adu,Kadzandani Community Health Unit,701380,Fully-functional,Adu Dispensary,41136,KMHFR via openAFRICA (2020 extract)
MANDERA,Banissa,Banissa,Malkamari,Guba Community Health Unit,701232,Fully-functional,Malkamari Health Centre (Malkamari),42644,KMHFR via openAFRICA (2020 extract)
MANDERA,Banissa,Banissa,Derkhale,Derkhale Community Health Unit,701231,Fully-functional,Derkale Dispensary,42644,KMHFR via openAFRICA (2020 extract)
MANDERA,Banissa,Banissa,Kilwehiri,Eymole Community Health Unit,701230,Fully-functional,Eymole Health Centre (Kilwehiri),42644,KMHFR via openAFRICA (2020 extract)
MANDERA,Banissa,Banissa,Kilwehiri,Kiliwehiri Community Health Unit,701229,Fully-functional,Kiliweheri Health Centre,42644,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera South,Mandera South,Shimbir Fatuma,Shimbirfatuma Community Health Unit,701029,Fully-functional,Shimbir Fatuma Health Centre,42718,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera South,Mandera South,Kutulo,Kotulo Community Health Unit,701028,Fully-functional,Kotulo Health Centre (Mandera Central),42717,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,El-barta,Masikita Community Health Unit,701019,Fully-functional,Masikita Dispensary,42791,KMHFR via openAFRICA (2020 extract)
MANDERA,Lafey,Lafey,Waranqara,Warankara Community Health Unity,701017,Fully-functional,Warankara Health Centre,42667,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera East,Mandera East,Khalalio,Khalalio Community Health Unit,701016,Fully-functional,Khalalio Health Centre,42646,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera West,Mandera West,Dandu,Gagaba Community Health Unit,701015,Fully-functional,Dandu Health Centre,42588,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera West,Mandera West,Gither,Burduras Community Health Unit,701014,Fully-functional,Burduras Health Centre,42589,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera West,Mandera West,Gither,Gither Community Health Unit,701013,Fully-functional,Gither Dispensary,42589,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera West,Mandera West,Takaba,Takaba Community Health Unit,701012,Fully-functional,Mandera West Sub County Hospital,42556,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Bura,Bura Community Health Unit,700952,Fully-functional,Bura District Hospital,40183,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Fafi,Diiso Community Health Unit,700951,semi-functional,Amuma Mobile Dispensary,41279,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Fafi,Fafi Community Health Unit,700950,semi-functional,Fafi Dispensary,41279,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Fafi,Yumbis Community Health Unit,700949,semi-functional,Yumbis Dispensary,41309,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Jarajila,Alinjugur Community Health Unit,700948,Fully-functional,Alinjugur Health Centre,40183,KMHFR via openAFRICA (2020 extract)
GARISSA,Fafi,Fafi,Jarajila,Amuma Community Health Unit,700947,semi-functional,Amuma Dispensary,41279,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Labisgale,Labasigale Community Health Unit,700928,Fully-functional,Labasigale Dispensary,42282,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Liboi,Malaylay Community Health Unit,700927,Fully-functional,malaylay dispensary,42373,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Liboi,Liboi 2 Community Health Unit,700926,Fully-functional,Liboi Health Centre,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Dadaab,Daadab,Liboi,Liboi 1 Community Health Unit,700925,Fully-functional,Liboi Health Centre,42009,KMHFR via openAFRICA (2020 extract)
